Year,PTS,TRB,AST
1955,25.7,16.2,2.6
1956,20.6,4.8,7.5
1957,16.6,22.7,2.9
1958,29.2,16.4,3.1
1959,37.6,27,2.3
1960,16.9,23.9,3.4
1961,18.9,23.6,4.5
1962,16.8,23.6,4.5
1963,31.4,9.9,11
1964,14.1,24.1,5.3
1965,33.5,24.6,5.2
1966,24.1,24.2,7.8
1967,24.3,23.8,8.6
1968,13.8,18.2,2.6
1969,21.7,13.9,2
1970,31.7,16,3.3
1971,34.8,16.6,4.6
1972,20.5,16.2,4.1
1973,27,14.5,4.8
1974,34.5,14.1,2.2
1975,27.7,16.9,5
1976,26.2,13.3,3.9
1977,18.9,13.2,5
1978,24.8,17.6,1.8
1979,24.8,10.8,4.5
1980,24.6,8,4.4
1981,31.1,14.7,1.8
1982,24.5,15.3,1.3
1983,24.2,10.1,6.6
1984,28.7,10.5,6.6
1985,25.8,9.8,6.8
1986,23.9,6.3,12.2
1987,35,5.5,5.9
1988,22.5,7.9,12.8
1989,22.3,6.6,11.5
1990,31.5,6,5.5
1991,30.1,6.4,6.1
1992,25.6,12.2,5.1
1993,27.3,11.9,3.6
1994,27.6,10.8,2.9
1995,30.4,6.6,4.3
1996,27.4,9.9,4.5
1997,28.7,5.8,3.5
1998,23.8,9.4,4.1
1999,29.7,13.6,3.8
2000,31.1,3.8,4.6
2001,25.5,12.7,3.7
2002,23.3,12.9,3.9
2003,24.2,13.9,5
2004,15.5,3.3,11.5
2005,18.8,4.2,10.5
2006,24.6,8.9,3.4
2007,28.3,6.3,5.4
2008,28.4,7.6,7.2
2009,29.7,7.3,8.6
2010,25,4.1,7.7
2011,27.1,7.9,6.2
2012,26.8,8,7.3
2013,32,7.4,5.5
2014,23.8,4.3,7.7
2015,30.1,5.4,6.7
2016,31.6,10.7,10.4
2017,30.4,5.4,8.8
