Season,Pos,Height (in),YOS
1955,FC,81,1
1956,PG,73,6
1957,C,82,1
1958,FC,81,4
1959,C,85,0
1960,C,82,4
1961,C,82,5
1962,C,82,6
1963,G,77,3
1964,C,82,8
1965,C,85,6
1966,C,85,7
1967,C,85,8
1968,FC,79,0
1969,FC,81,5
1970,C,86,1
1971,C,86,2
1972,FC,81,2
1973,C,86,4
1974,FC,81,2
1975,C,86,6
1976,C,86,7
1977,C,83,3
1978,C,82,2
1979,C,86,10
1980,SF,78,8
1981,C,82,5
1982,C,82,6
1983,SF,81,4
1984,SF,81,5
1985,SF,81,6
1986,PG,81,7
1987,SG,78,3
1988,PG,81,9
1989,PG,81,10
1990,SG,78,6
1991,SG,78,7
1992,PF,78,8
1993,C,84,9
1994,C,85,5
1995,SG,78,10
1996,PF,81,11
1997,SG,78,12
1998,PF,81,13
1999,C,85,7
2000,G,72,4
2001,FC,83,4
2002,FC,83,5
2003,PF,83,8
2004,G,75,8
2005,G,75,9
2006,PF,84,8
2007,SG,78,11
2008,F,80,5
2009,F,80,6
2010,PG,75,2
2011,F,80,8
2012,F,80,9
2013,SF,81,6
2014,G,75,5
2015,G,75,6
2016,G,75,8
2017,SG,77,8
